Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
"The Data Science of Healthcare, Medicine, and Public Health","Data analytics plays an increasingly pivotal role in how we go about managing our healthcare systems and personal health. This nontechnical course explores a variety of ways to apply data science to medicine and public health. Data scientist Barton Poulson discusses the ways that dramatically increased quantities of data—from genetic testing, genealogy, brain scans, and other sources—are changing the theory and practice of healthcare. As he looks over key data sources, Barton explores the different methods for analyzing this wealth of data, including machine learning and predictive modeling. He also details the extraordinary effect of the COVID-19 pandemic on the ways data is used in healthcare, and details how data science has changed the areas of patient care, self-care, and medical insurance. Barton also looks at some challenges the increased use of data presents, from ethical questions to logistical implementations, and how data science can help identify unanticipated problems.",Course,2023-07-13 05:42 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-05 15:44 UTC,N/A,false,N/A,
Model Context Protocol (MCP): Hands-On with Agentic AI,"The Model Context Protocol (MCP) allows developers to add agent behavior to LLMs by providing a universal protocol providing context to language models so they can interface with data and applications in a consistent way. MCP servers expose resources (data), tools (actions), and prompts (instructions) for the LLM and the user to use in performing more complex operations. In this course you’ll explore how the MCP works in Claude Desktop to extend its functionality, and you’ll build your own MCP servers using Python and TypeScript to give LLMs new capabilities to do things on the computer, connect with external APIs, and perform advanced multi-step actions.",Course,2026-05-19 19:39 UTC,N/A,false,N/A,
Nano Tips for Establishing an Entrepreneurial Mindset with Ross Simmonds,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ross Simmonds teaches you how to get in a mindset that can set you up for entrepreneurial success. Ross explains the differences between a growth mindset and a fixed mindset, the importance of time management, the pitfalls of seeking validation from others, the value of strategic sacrifice, and more.",Course,2025-12-08 01:51 UTC,N/A,false,N/A,
React: Design Patterns (2021),"If you’ve learned the basics of React and have worked on many React applications, chances are you’ve run into some recurring problems and situations, like creating reusable layouts or working with forms. If you’ve been on the hunt for solutions to common problems, look no further than this course with Shaun Wassell, where he covers many of the most useful design patterns—effective and repeatable solutions to common application development challenges. This course consists of several sections, each of which will cover a group of React design patterns, ranging from preferred syntax for specific tasks to how to arrange components in the most effective way. Among the topics Shaun covers are composition, higher-order components, state hoisting, controlled vs. uncontrolled components, and many other patterns that help a React app develop into a well-organized codebase.",Course,N/A,N/A,true,N/A,
HTML Essential Training (2020),"Hypertext Markup Language (HTML) is the foundation of website and web application development. It allows you to ensure that your content is understood by both segments of your audience: the people who watch, read, or listen to your content, and the computers that display it. In this course, learn how to craft excellent HTML with the pieces that HTML itself has to offer. Instructor Jen Simmons highlights all of the fundamental concepts you need to use HTML thoughtfully. She focuses on semantic markup: tagging content as what it is, and not just for formatting, convention, or convenience. This has far-reaching impact for those who consume the web differently; it ensures that when a screen reader or a system (like a search engine) consumes a page, it knows exactly what it contains and how to categorize that information.",Course,2021-05-06 08:08 UTC,N/A,false,N/A,
React.js Essential Training,"Among all other JavaScript libraries, React.js stands out. It relies on reusable components, not templates, for UI development, allowing developers to render views where data changes over time. React applications are more scalable and more maintainable, making developers more efficient and users more satisfied. In this course, Eve Porcello introduces the basics of the React library using the most modern syntax and best practices for creating React components. Along the way, learn how to set up Chrome tools for React; create new components; work with the built-in Hooks in React; use the Create React App to run tests, and more. By the end of the course, you'll be armed with the essentials of React.js and better prepared to build your own browser-based projects.",Course,N/A,N/A,true,N/A,
TypeScript Essential Training,"TypeScript lets you write JavaScript the same way you always do. That’s because TypeScript compiles to plain JavaScript and works with any browser, any host, and any operating system. It adds a variety of helpful tools and syntax to an already mature language, bringing the power and productivity of open-source, object-oriented development to fully compatible, core JavaScript.<br><br>In this course, Jess Chadwick teaches you how to leverage the full power of the TypeScript language in your JavaScript applications. Revisit some of the JavaScript fundamentals before turning to the data types, classes, generics, modules, and decorators that are unique to TypeScript. Get tips on defining complex types, extending and extracting metadata from existing types, and working with JavaScript modules to make your code more efficient. You can even try out your new TypeScript skills with the practice challenges along the way.",Course,N/A,N/A,true,N/A,
Nano Tips to Foster a Growth Mindset and Mental Agility with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>In this installment award-winning leadership strategist and peak performance specialist Shadé Zahrai shows you how you can succeed professionally and in life using a growth mindset and mental agility.</p>

<p>Shadé explains how to master your inner dialogue by tapping into the power of “yet”, shifting your focus to possibility, and using language for growth. She covers ways to overcome obstacles through changing your perspective on failure, emphasizing growth over speed, and detaching from external approval. Plus, Shadé gives you several practical tips on how you can apply a growth mindset toward others in how you respond to compliments and how you give and receive feedback.</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-17 17:38 UTC,N/A,false,N/A,
Complete Guide to Evaluating Large Language Models (LLMs),"<p>In this comprehensive course, AI and LLM expert Sinan Ozdemir shares with you the knowledge and skills to assess LLM performance effectively. Get a detailed introduction to the process of evaluating LLMs, Multimodal AI, and AI-powered applications like agents and RAG. Learn how to thoroughly assess and evaluate these powerful and often unwieldy AI tools so you can make sure they meet your real-world needs. This course prepares you to evaluate and optimize LLMs so you can produce cutting edge AI applications. </p>

<p>This course was created by Pearson. We are pleased to host this training in our library.</p>",Course,2026-05-30 15:33 UTC,N/A,false,N/A,
Data Resilience with Spring and RabbitMQ Event Streaming,"RabbitMQ is a widely deployed messaging solution and Spring is a popular framework for building modern Java applications. In this course, Gregory Green explains how Spring and RabbitMQ can be used to build a resilient data architecture for critical applications. Learn about RabbitMQ features such as quorum queues, streams, and multi-site replication. Gregory also reviews Spring projects like Spring Cloud and AMQP that simplify building production-ready applications. Plus, learn how Kubernetes improves resiliency for Spring applications and RabbitMQ.",Course,2024-11-05 05:10 UTC,N/A,false,N/A,
Nano Tips on How to Apologize Authentically with Arti Halai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Arti Halai guides you through the steps of reflection and thought necessary to share an authentic apology in both personal and professional settings.</p><p>
 
This course was created by Arti Halai and CRFT Productions. We are pleased to host this training in our library.
 </p>",Course,2025-12-11 16:47 UTC,N/A,false,N/A,
Operational Excellence Foundations,"<p>Understand and apply operational excellence to improve your organization's processes, products, and services for sustained competitive advantage. Dr. Richard Chua, consultant, professor and certified Lean Six Sigma Master Black Belt trainer, explains the fundamentals of operational excellence-from key concepts and tools to methodologies and implementation best practices. He explains lean principles and shows how to eliminate variation, operationalize the voice of the customer (VOC), error proof, and build in quality at the source. He covers methodologies such as Lean Six Sigma (DMAIC), Kaizen, Design for Six Sigma (DMADV), and value stream management (VSM), and shows how to choose the right one for your application. He concludes by sharing implementation best practices to drive the right mindset, behaviors, and results for sustaining operational excellence. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/operations-management-professional-certificate-by-jack-welch-management-institute"" target=""_blank"">Professional Certificate</a> from Jack Welch Management Institute.</p>",Course,2022-04-01 00:24 UTC,N/A,false,N/A,
After Effects Weekly,"During the last few years, After Effects has grown from a simple software program into an ever-evolving motion graphics ecosystem. New features are being added each quarter and it's getting hard to keep up. This weekly series demonstrates tips, tricks, and techniques to help you to stay on top of the changes and reveals undocumented effects and shortcuts that will blow you away. Learn how to reset tools, control animations, create effects, control layers, fix issues, and integrate with Photoshop, Illustrator, and Cinema 4D. Tune in every Friday for a new tip.",Course,2025-03-11 03:11 UTC,N/A,false,N/A,
CATIA V5: Class A Surfacing,"Class A surface modelers are called digital sculptors for a reason: the Class A surface represents the absolute peak of styling for freeform surfaces. For this reason, the Class A technique is used to design automobiles, high-end products like mobile phones, and aerospace craft, where the shapes must be of the highest quality. This course introduces the concepts behind Class A surfacing, including an explanation of key terms and their roots in shipbuilding history. You also learn the fundamentals of Class A surfacing design—from deriving curves to creating mesh surfaces—and find out how to implement these techniques in CATIA V5, a leading CAD platform. Instructor Steven Marjieh also shows how to assemble the final form, and perform an analysis to ensure your designs meet the original engineering and styling intents.",Course,2021-01-06 10:40 UTC,N/A,false,N/A,
Spring Boot 2.0 Essential Training,"Learn how to get started with Spring Boot 2.x, a powerful framework that can help you build web applications quickly, using less code. The Java-based programs you build in Spring Boot ""just run"": they resolve their own dependencies and create containers for running code in any environment. Learn how to use Spring Boot to build your projects in this course with software architect and Spring developer Frank Moley. Frank shows how to initialize, containerize, and run Spring Boot web apps and CLI apps, and use the library of common starter projects to fill business-critical needs: data, messaging, security, and more. Plus, find how to extend Spring Boot by creating your own starters and use the Actuator module's HTTP endpoints to monitor and manage your apps.",Course,N/A,N/A,true,N/A,
SOLID Principles in System Design for Java Developers,"This course teaches you the five SOLID principles that can help you write better, cleaner Java code. Learn how to use these principles in real-world projects to improve the design of your programs. With easy-to-follow examples, see how to fix and improve existing code, making it easier to change, test, and grow. Whether you're looking to improve your Java skills or get ready for interviews, this course can help you write more flexible and reliable code.",Course,2026-06-09 19:12 UTC,N/A,false,N/A,
Local AI: Build a RAG Model from Scratch with Open-Source Tools,"In this hands-on course, physicist and educator Dr. Alaa Moussawi guides you toward mastery of Retrieval-Augmented Generation (RAG) models. Learn to construct your own custom AI bots by integrating vector databases with language models for contextually accurate responses. Explore essential concepts such as vector embeddings, query processing, and prompt engineering. Learn how to optimize your resources by running lightweight models efficiently, even on limited hardware. Find out how to generate effective vector embeddings and extract relevant information from diverse data sources. Benefit from the flexibility of open-source software as you adapt the models to specific domains or styles, while customizing the knowledge base of your bot. Keep innovating and pushing boundaries with retrieval-augmented intelligence and join the vibrant open-source community in this exploratory learning adventure.",Course,2026-06-05 21:43 UTC,N/A,false,N/A,
Project Management Foundations: Teams,"<p>Explore leading techniques for understanding the personality traits of team members, and for managing the development of teams. Instructor Daniel Stanton discusses the value of learning about team members and explains a number of assessments that can assist with identifying personality types, emotional intelligence, strengths, and work styles. He also shares ways project managers can use these tools to relate to colleagues and create an environment in which everyone is able to succeed. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2022-05-04 03:57 UTC,N/A,false,N/A,
Electronics Foundations: Fundamentals,"Working with electronics can be a ton of fun, but it can also be a bit confusing—especially when you're first learning. In this course, electrical engineer Barron Stone uses easy-to-understand analogies to break down the fundamental concepts of voltage, current, resistance, and power. After you review the science behind electricity, Barron applies those concepts to build basic circuits. He explains the differences between the ideal, theoretical power sources that we often consider when designing circuits and the physical limitations of the real-world power sources that we actually use to build them. He also shows you how to use the go-to tool for debugging electronics—the digital multimeter—so you can measure the actual voltage and current in your circuits.",Course,2023-08-05 05:16 UTC,2023-08-05 04:23 UTC,true,N/A,
Learning Power BI Desktop (2022),"Power BI Desktop—the powerful data analysis and visualization software from Microsoft—can help you get more insights from your data, whether that data is stored on your computer or in the cloud. In this course, discover how to leverage this easy-to-use tool to more efficiently model and visualize data. Learn how to connect various data sources, including Excel, databases, and web data sources like Wikipedia. Explore how to search and transform your data using the built-in Query Editor. Plus, instructor Gini von Courter shows how to build and arrange visualizations, create interactive reports, share your work, manage your published files in the Power BI service, and more.",Course,2023-07-18 12:43 UTC,N/A,false,N/A,
Nano Tips for Career Success and Daily Wins with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore strategies for career success and daily wins with award-winning leadership strategist and peak performance specialist Shadé Zahrai. Learn how to identify career growth areas, address burnout, track achievements, celebrate effort, balance skills with opportunities, and develop daily habits. By the end of this course, you’ll be prepared to manage emotionally charged situations, disrupt procrastination, and improve mental clarity and well-being.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-11-13 19:11 UTC,N/A,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2026-05-26 06:01 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,N/A,N/A,true,N/A,
Nano Tips to Sharpen Your Critical Thinking with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to become a better critical thinker, using practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn how to scrutinize information like an investigator, posing Socratic questions and pushing the boundaries of your perspective. Challenge your assumptions to make better, smarter, more disruptive decisions with tools and techniques to enhance your focus and sense of clarity. Along the way, Shadé gives you pointers on how to avoid overthinking things to improve your chances of success in both your personal and professional life. By the end of this course, you’ll be prepared to create more inclusive, equitable spaces for open dialogue, ideation, and critical voice.</p>",Course,2025-11-16 02:50 UTC,N/A,false,N/A,
Python Code Challenges ,"Want to test your Python skills? These concise challenges let you stretch your brain and test your talents. Instructor Barron Stone shares over a dozen Python challenges, as well as his own solutions to each problem—the majority of which are less than two dozen lines of code. You can tackle each problem using the tools in the Python standard library, or opt for the library of your choice. And since each challenge is self-contained, you can complete the course in any order—and at your own pace. Tune in to get the hands-on practice you need to keep your skills sharp.",Course,2021-02-18 02:12 UTC,N/A,false,N/A,
Next.js: Creating and Hosting a Full-Stack Site,"Many web developers focus solely on one part of an application: the front end, the back end, the database, or the hosting platform. However, JavaScript has become such a ubiquitous language that it can be used for all of these parts. This means that a single JavaScript developer can now create an entire web application, a task that used to require an entire team. In this course, full-stack development instructor Shaun Wassell shows developers how to do exactly that by using Next.js to build a full-stack application. Find out how to build basic React interfaces in Next.js, add back-end functionality to Next.js applications, make network requests, and finally host a full-stack Next.js application so that anyone can use it.",Course,2026-05-29 03:59 UTC,N/A,false,N/A,
Nano Tips on How to Use Storytelling for Problem Solving with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips for integrating storytelling as a routine practice in problem solving. Learn about understanding your problem through story, storytelling techniques to analyze problems, using stories to persuade and convince, and more.",Course,2026-03-05 18:46 UTC,N/A,false,N/A,
Claude with Google Cloud Vertex AI by Anthropic,"<p>This course provides comprehensive technical training on integrating and deploying Claude AI models through Google Cloud Vertex AI. Developers will learn to implement Claude API capabilities, from basic request handling to advanced features including tool use, retrieval-augmented generation (RAG), and the Model Context Protocol (MCP). The curriculum covers practical implementation patterns, performance optimization techniques, and production-ready workflows for building AI-powered applications. </p><p><strong>Prerequisites:</strong></p><ul><li>Proficiency in Python programming</li>
<li>Basic knowledge of handling JSON data</li>
<li>A Google Cloud account with Vertex AI access</li></ul></p>
<p>Note: This course was created by Anthropic. We are pleased to host this training in our library. </p>",Course,2026-05-17 20:03 UTC,N/A,false,N/A,
