Title,Description,Url,Started On,Finished On
Design & Fabrication of Jigs & Fixtures - Perth Metro,"Installation Fixtures =CBS Lifting Tackle, Gangway lifting tackle, Automatic Coupler",,Aug 2020,Jan 2021
Design & Fabrication of Jigs & Fixtures - Nose Cone Assemblies for PSLV - ISRO,"Design & Fabrication of Jigs & Fixtures and Batch Production of PSOM Nose Cone Assy, SITVC Nose Cone Assy, SITVC Aft Shroud Assy for Polar Satellite Launch Vehicle (PSLV)",,Jun 2017,Jan 2019
Design and Fabrication of Augmenter Extension - Safran CENCO,"Design and Fabrication of Augmenter Extension for testing of Pratt & Whitney 1100G Engine at Test Cell in Air India, Delhi",,Jun 2016,Jun 2017
Design & Development of Opto-Electronic Assemblies for LCA-Navy,"Wander light, AOA light, Position light",,Jan 2016,Jun 2016
Gadjoy Repair Services - Gadgets repair store,"Started a business in gadgets repair for laptops, tablets & phones.",gadjoy.in,Nov 2016,Nov 2020
Galileo,"Project Overview The Galileo project focused on enhancing NovaSignal’s cloud-based platform for managing Transcranial Doppler (TCD) exams. It provided secure storage, real-time streaming of exam data, and improved reporting. The platform integrated with hospital systems using DICOM and PACS standards, giving clinicians remote access to patient data through a Progressive Web App (PWA).  Key Contributions •	Microservices Testing: Conducted testing for key microservices like qCH, reporting, core API, and transmission to ensure reliability. This involved writing and executing test cases based on system requirements (SRS). •	SOUP Creator Tool: Developed a tool that analyzed GitHub repositories, extracting dependencies to compile a list for security reviews. The tool helped identify potential vulnerabilities in open-source components. •	PACS Server Setup: Set up a PACS server in the cloud, enabling secure storage and retrieval of medical images, facilitating sharing between hospitals and clinicians. •	Windows GUI Automation: Automated GUI tests for a Windows-based application using Python and Pywinauto, reducing manual testing efforts and improving coverage. •	Cloud Simulators: Deployed Windows VMs in the cloud with pre-configured simulators, allowing team members to test systems without needing local setups, improving efficiency.  Technologies Used •	Languages: Python •	Automation Tools: Pywinauto, Jenkins •	Cloud Services: GCP, AWS, Cloud SQL, Cloud Run •	Medical Imaging: DICOM, PACS •	Development Tools: GitHub, Docker, Flask •	Testing Tools: PyTest, Playwright  Impact •	Security Audits: The SOUP tool automated the identification of open-source components, improving security management. •	Testing Efficiency: Automated tests for microservices and GUIs led to faster release cycles and improved system stability. •	Cloud Efficiency: Reduced setup time by using cloud simulators, streamlining the testing process.",,Jul 2021,Apr 2022
Jupiter,"Project Overview:  The Jupiter Release was focused on enhancing NovaGuide View (NGV) system for secure healthcare data integration and real-time monitoring. It introduced new capabilities, such as advanced reporting, cloud-based data exchange using HL7 and DICOM standards, and infrastructure improvements for hospitals and cloud systems. The project aimed to ensure robust, secure data transmission between hospital EMR systems and cloud services while complying with healthcare regulations.  Key Contributions: •	Test Automation: Automated UI and API testing for key features, including reporting, qCH, core, transmission, and HL7 transformer, improving test coverage and efficiency. •	EMR Simulator Development: Developed a full-stack EMR simulator to replicate hospital-side workflows using Flask (API), Pynetdicom (DICOM), and HL7 protocols, enabling thorough testing of healthcare data exchange. •	Virtual Hospital Setup: Designed and deployed complex VPC networks in GCP with serverless VPC connectors, ensuring secure and efficient data flow between hospital systems and cloud services. •	Cybersecurity & Penetration Testing: Supported penetration testing, contributing to the security of healthcare data pipelines and compliance with industry standards. •	Infrastructure Testing Tool: Built a tool to validate the infrastructure setup by comparing microservices, storage, and databases against a golden configuration, ensuring system integrity.  Technologies Used: •	Languages & Frameworks: Python, Flask, Docker •	Cloud Services: GCP (Cloud Run, SQL, Storage), Serverless VPC Connectors •	Healthcare Standards: DICOM, HL7, MLLP,  •	Testing Tools: PyTest, Playwright •	Security: Penetration testing, GCP firewalls, secure VPC networks  Impact: •	Accelerated release cycles through automated testing. •	Enhanced data security and compliance with healthcare standards. •	Improved cloud-to-hospital system integration through secure infrastructure and validation tools.",,Apr 2022,Oct 2022
Data View,"Project Overview:  Led the development of a Data View Application for a medical technology company, providing sales teams, medical education (med-ed), and upper management with critical insights into the performance and deployment of robotic systems across multiple hospitals. The application facilitated real-time data analysis, enabling stakeholders to monitor system usage and clinical outcomes.  Key Contributions: Extracted large datasets using SQL queries across various hospitals and conducted initial analysis in Power BI. Developed the first version of the Data View Application using Streamlit, backed by robust Python-based processes for efficient data handling. Leveraged GitHub Copilot extensively to accelerate development cycles, enabling rapid updates to the app and facilitating continuous feedback from internal customers. Created automated pipelines for real-time data updates and provided comprehensive visualizations of key metrics such as exam utilization, RLS detection, and hospital performance. Collaborated closely with cross-functional teams, ensuring the application aligned with business needs and supported data-driven decision-making.  Technologies Used: Data Extraction & Initial Analysis: SQL, Power BI Backend Development: Python, Pandas, Flask Frontend Development: Streamlit, Plotly Deployment: Docker, Google Cloud Run AI Assistance: GitHub Copilot  Impact: Empowered the sales, med-ed, and upper management teams with real-time insights into robotic system deployments, helping them track performance and optimize strategies. Significantly increased development speed by utilizing GitHub Copilot, allowing for frequent app updates and rapid feedback loops from internal customers. Provided essential data for decision-making, improving resource allocation and operational efficiency in hospitals. Enabled cross-hospital comparison and analysis of trends, leading to targeted improvements in robotic system utilization.",,Jun 2023,Dec 2023
Saturn,"Project Overview:  The Saturn release of NovaGuide View (NGV) was aimed at improving the system’s medical data visualization capabilities, enhancing exam workflows, real-time data streaming, and improving post-exam report generation. The project focused on expanding NGV functionalities for exam review, signal processing, image generation, and data streaming using advanced tools like FFMPEG and synthetic TCD data generation.  Key Contributions: Test Strategy & Automation: Developed the overall test strategy, including SRS verification, and created automated test suites using PyTest. Designed test cases to cover both functional and non-functional requirements. Jenkins & DevOps: Set up Jenkins for CI/CD, enabling automated builds and deployments across multiple microservices. Managed a separate test environment for isolated testing and integration. Synthetic Data Tools: Created internal tools to generate synthetic TCD data, crucial for testing the real-time streaming and playback services, ensuring robustness. Mock API & Integration Testing: Reviewed and implemented mock APIs to simulate real-world medical data, supporting seamless microservice integration and testing. FFMPEG & Digital Audio: Gained expertise in digital audio fundamentals and binary data, leveraging FFMPEG for processing and synchronizing audio/video files for exam playback.  Technologies Used: Testing Frameworks: PyTest, Playwright CI/CD Tools: Jenkins Programming Languages: Python, Bash Microservices: RESTful APIs, Google Cloud Run Tools: FFMPEG (video processing), Docker Cloud Services: Google Cloud Platform (GCP), AWS (for notifications via Pinpoint) Data Visualization & Audio Processing: FFmpeg, Pillow, Websockets, GCS Fuse  Impact:  Automated 60% of manual test cases, significantly reducing testing time. Improved product reliability by simulating real-time environments with synthetic data tools. Streamlined DevOps processes, enhancing deployment efficiency and team collaboration.",,Nov 2022,May 2023
AI Driven AutoUI Testing,"Project Overview: As an Automation Test Engineer, I developed automated test scripts for a GUI application based on System Requirements Specifications (SRS). A key innovation was leveraging AI tools, including the OpenAI Assistant API, to automate the test script development process. This improved efficiency, reduced manual effort, and introduced new methods in test automation.  Key Contributions: AI-Driven Test Automation: Used the OpenAI Assistant API and other AI tools to automate test script creation, significantly reducing development time. Developed Automated Test Scripts: Created test scripts using Python, PyTest, and Pywinauto, covering all SRS items. Optimized Testing Framework: Improved the framework by integrating AI-generated code, creating reusable helper functions, and following best coding practices. Advanced Testing Strategies: Utilized AI-driven parameterization and PyTest markers to test across multiple configurations and scenarios. GUI Automation: Automated user interface interactions using Inspect.exe and Windows Simulator, streamlining the testing process. Collaboration and Version Control: Used Git for version control, integrated AI-generated scripts, and collaborated with the team on code reviews.  Technologies Used: Programming Languages: Python Testing Frameworks: PyTest, Pywinauto AI Tools: OpenAI Assistant API, AI automation tools Development Tools: Visual Studio Code,  Impact: Innovated Test Automation: Introduced AI into test automation, reducing development time and enhancing efficiency. Improved Software Quality: AI-assisted script generation increased testing coverage and software quality. Increased Efficiency: Reduced manual effort and optimized test execution time, supporting quicker release cycles. Advanced Team Capabilities: Encouraged AI adoption within the team, fostering innovation. Ensured Compliance: Verified that software met system requirements, aiding compliance and successful audits.",,Mar 2024,Jul 2024
Centralized Telemetry,"Project Overview: Developed a centralized telemetry and logging architecture for the NovaGuide robotic systems, streamlining data collection, storage, and analysis by leveraging Google Cloud Platform (GCP). This new system enabled real-time monitoring, predictive maintenance, and remote diagnostics, replacing manual, device-level diagnostics.  Key Contributions: Architectural Design: Designed a scalable, serverless architecture on GCP, using Cloud Run, Cloud Logging, and BigQuery to centralize telemetry and log data collection. Data Ingestion and Transformation: Implemented a Cloud Run service to securely ingest telemetry and log data over HTTPS, standardize formats (JSON), and parse for downstream processing. Real-Time Monitoring & Alerts: Integrated Cloud Monitoring and Metrics Explorer for real-time insights, anomaly detection, and system health monitoring. Predictive Maintenance & Analytics: Utilized BigQuery for long-term storage and advanced analytics, enabling time-series analysis and machine learning-driven predictive maintenance. Security & Compliance: Ensured secure data transmission and compliance with HIPAA using robust authentication, encryption, and authorization. Cost Efficiency & Scalability: Leveraged serverless infrastructure to reduce operational costs, handle varying data volumes from multiple hospitals, and support auto-scaling.  Technologies Used: Google Cloud Platform: Cloud Run, BigQuery, Cloud Logging, Metrics Explorer, and Cloud Monitoring. Programming Languages & Tools: Python, Docker (for containerized services), HTTPS, GCP IAM Policies.  Impact: Centralized telemetry and logging reduced on-site diagnostics, improved response times, enhanced system reliability, and enabled predictive maintenance. This led to lower operational costs and improved scalability across hospital deployments.",,Aug 2024,Oct 2024
Jira Analyzer,"Project Overview: The Jira Analyzer is an AI-driven tool designed to analyze Jira tickets, providing insights into system performance, data management, and navigation-related issues. The tool leverages AI to classify and categorize issues, infer error paths, and suggest solutions, all while aiding in long-form text generation for human analysis.  Key Contributions: Developed AI-based models to analyze and classify Jira tickets. Utilized ChatGPT-4 and other AI tools for prompt generation and long-form text analysis. Designed and implemented an architecture for outputting recommendations and hotspots in CSV format. Generated test scripts using Python and Pywinauto to address rapid navigation and UI click issues. Worked on clustering and error path identification based on system performance and navigation issues. Created word clouds to visualize the most common error paths and system issues.  Technologies Used: AI Tools: ChatGPT-4, OpenAI Chat Assistant API Programming Languages: Python, Pywinauto Data Visualization: Matplotlib Workflow and Automation: Python scripts for high-speed UI navigation and data output. File Formats: CSV for data output and analysis.  Impact: Automated analysis of 33% of the total Jira issues (23/69). Identified key system performance and navigation/UI issues that helped prioritize fixes (e.g., 12 system performance issues, 3 navigation/workflow issues). Streamlined the error path identification process, improving the accuracy of issue categorization and reducing manual workload for human analysis. Improved the efficiency of generating AI-driven prompts, resulting in a faster analysis cycle for Jira tickets.",,Jan 2024,Jan 2024
TestAI,"Project Overview AI-Based Verification for Automated Software Testing Developed a proof-of-concept (PoC) AI-driven system to automate the generation of test cases from Software Requirement Specifications (SRS), enhancing test coverage and traceability.  Key Contributions Extracted and analyzed SRS text using ChatGPT-4 and Vision API, automating the creation of test scenarios and cases. Designed an AI-driven process to generate requirement trace matrices, ensuring all software features were covered and traceable to the SRS. Integrated a chatbot for session-based test generation, improving the accuracy and consistency of results across multiple sessions. Built the Test AI architecture, utilizing REST APIs to interface with test tools and backend services like MySQL for data storage and Andromeda Identity Server for authentication. Addressed AI limitations like hallucinated features, recommending fine-tuning with retrieval-augmented generation (RAG) to improve model accuracy.  Technologies Used AI Models: ChatGPT-4, Vision API Languages: Python, REST API Databases: MySQL Authentication: Andromeda Identity Server Deployment: Google Cloud Platform (GCP)  Impact Efficiency: Reduced manual effort in test case generation, speeding up the testing process. Consistency: Improved test case accuracy and traceability, ensuring better alignment with requirements. Scalability: Built a scalable architecture for AI-driven test automation, adaptable to future projects.",,Feb 2024,Feb 2024
Facial Analysis,https://github.com/gadjoy/projects/tree/master/facial_analysis,,Jun 2018,Aug 2018
Internal Tools Portal & Application Modernization,"Project Overview:  Addressed critical issues of ""tool sprawl"" and inconsistent documentation by taking ownership of over 25 legacy internal applications and building a new, centralized portal to house them.  Key Contributions: •	Leveraged GitHub Copilot extensively to rapidly learn and diagnose over 25 disparate codebases written in React, Vue, Python, and Node.js, achieving proficiency in weeks instead of months. •	Single-handedly architected and developed a new Internal Tools Portal from the ground up, creating a unified and searchable ""one-stop shop"" for all engineering resources. •	Designed and implemented a standardized, scalable framework for all future internal tool development, ensuring consistency and maintainability.  Technologies Used: •	Frontend: Vue.js, React •	Backend: NestJS, Node.js, Python (Flask) •	Database: PostgreSQL •	DevOps: Docker, Google Cloud Platform (GCP), CI/CD •	AI-Assisted Development: GitHub Copilot  Impact: •	Improved Productivity: Reduced the time for engineers to find tools and documentation from hours to seconds. •	Reduced Onboarding Time: The portal was projected to cut the technical onboarding time for new engineers by 50%. •	Established Governance: Created a single source of truth that eliminated redundant tools and standardized operations.",,Nov 2024,Nov 2024
MLOps Data Observability Dashboard,"Project Overview:  Developed a comprehensive data observability dashboard to provide the first-ever end-to-end visualization of the company's complex MLOps data pipeline, enabling deep analysis and strategic improvements.  Key Contributions: •	Used AI-assisted coding to accelerate the development of the entire full-stack dashboard, from data ingestion to frontend visualization. •	Engineered data connectors and a robust backend service to ingest and process data from multiple sources, including internal APIs and AWS DynamoDB. •	Mapped the entire data flow and built automated metric tracking for data quality, volume, and latency, which were then visualized in the dashboard.  Technologies Used: •	Frontend: React, Plotly.js •	Backend: Python (FastAPI) •	Database: AWS DynamoDB, PostgreSQL •	DevOps: Docker, AWS •	AI-Assisted Development: GitHub Copilot  Impact: •	Provided Unprecedented Visibility: Gave stakeholders a real-time, holistic view of the ML data pipeline's health and performance. •	Drove Strategic Improvements: The analysis and visualizations from the dashboard provided critical, data-driven feedback that directly informed strategic decisions to improve the pipeline's architecture. •	Identified Bottlenecks: Pinpointed key inefficiencies in data processing, leading to targeted optimization efforts.",,Dec 2024,Dec 2024
MLOps Model Card System for Analytics Team,"Project Overview:  Architected and built a foundational ""Model Card"" system specifically for the company's multi-disciplinary analytics team to bridge the gap between Data Linguists, Computational DL Specialists, and Speech Scientists.  Key Contributions: •	Independently designed the complete database schema for the Model Card Evaluation System, creating a flexible foundation to capture diverse metrics relevant to different specialists. •	Developed the backend services and REST APIs to allow team members to programmatically log, retrieve, and compare model metadata and performance results. •	Championed the use of AI tools to automate the generation of boilerplate code, significantly speeding up the initial development phase of the system.  Technologies Used: •	Backend: Python (FastAPI) •	Database: PostgreSQL / MongoDB •	DevOps: Docker, GCP •	AI-Assisted Development: GitHub Copilot  Impact: •	Fostered Cross-Functional Collaboration: Created a common language and a single source of truth for a diverse team of specialists to collaboratively evaluate models. •	Empowered Subject-Matter Experts: Enabled Data Linguists and Speech Scientists to directly visualize and analyze model performance without needing to interpret raw code. •	Accelerated R&D Cycles: Streamlined the collaborative feedback loop between computational DL specialists and domain experts, leading to faster, more informed model improvements.",,Jan 2025,Jan 2025
App Version Distribution – Cloud Portal,"Project Overview   Developed and deployed a cloud-based application version management and distribution feature within the Sanas Admin Portal, complementing the company’s desktop release ecosystem. The system provided a single interface for administrators to monitor, manage, and securely deliver application builds across multiple global regions (India, Philippines, North America). It streamlined version tracking, rollout coordination, and security validation for General Availability (GA) and Beta releases.   Key Contributions   Designed End-to-End Architecture: Modeled relational schemas in portal-prod-db-instance linking App Releases and App Downloads, with keys for Release ID, Model Type ID, and Country Code.   Automated Release Lifecycle: Integrated backend APIs with CI/CD pipelines so each desktop build automatically updated release metadata, download URLs, and SHA-256 hashes—eliminating manual steps.   Built Interactive Portal UI: Implemented a React-based admin dashboard to visualize version status, filter by region or type (GA/Beta), and access release notes in real time.   Enhanced Security & Integrity: Added checksum validation and controlled URL-token authentication for secure internal distribution of .exe and .msi packages.   Cross-Functional Collaboration: Partnered with desktop, infra, and QA teams to align build cadence with portal analytics and improve release visibility.   Technologies Used   Frontend: React JS, Tailwind, TypeScript  Backend: Nest JS, PostgreSQL, Prisma ORM  Infrastructure: Google Cloud Run, GCP SQL, Docker  CI/CD: GitHub Actions  Security & Validation: SHA-256 Checksum Verification, GCP IAM Roles   Impact   Reduced manual release coordination time by ≈ 70 %.   Enabled real-time visibility into version rollouts across 3 regions.   Increased deployment reliability through automated checksum validation.   Laid the groundwork for a scalable global release pipeline within the portal.",,Feb 2025,Apr 2025
Workspace Time Zone Selector – Cloud Portal,"Project Overview: Designed and implemented a workspace-level time zone management system for the Sanas Admin Portal, resolving long-standing timestamp inconsistencies across distributed regions (India, Philippines, U.S.). This feature ensured 100% display consistency, aligning global operations with internal analytics through a standardized UTC-based data framework.   Key Contributions:   Architected End-to-End Framework: Implemented workspace-scoped time zone configurations persisted in the database and applied globally across Reports, Home, and Notification pages.  Backend Implementation (NestJS): Created TimezoneService, WorkspaceSettingsController, and a global TimezoneInterceptor. Enforced UTC storage for all timestamps while rendering based on workspace preference. Added full audit logging (UPDATE_TIMEZONE) to capture user changes.  Frontend Integration (ReactJS): Built reusable components (TimezoneSelector, DateTimeDisplay, TimezoneBadge) and integrated a TimezoneContext provider for real-time updates. Updated dashboards to display contextual time zone indicators.  Audit & Validation: Conducted a full production schema audit to ensure UTC compliance. Authored and executed a multi-region E2E test strategy covering DST edge cases and transitions across Manila, India, and U.S. zones.   Technologies Used:  Backend: NestJS, TypeORM, PostgreSQL, date-fns-tz  Frontend: ReactJS, Ant Design, Context API, TypeScript  Testing: Jest, React Testing Library, Cypress  Infrastructure & CI/CD: AWS EKS, Docker, Gitlab CI/CD   Impact:   Achieved 100% consistency in timestamp display across all admin regions.  Improved cross-region data accuracy for reports and scheduled tasks.  Reduced user confusion and support tickets related to time mismatches by over 60%.  Established a robust UTC-based data standard and auditing framework for future modules.",,Apr 2025,May 2025
AI Next– Enterprise AI Adoption & Transformation,"Overview: Spearheaded a company-wide strategic initiative to bridge a critical market gap in AI adoption, transforming engineering operations from ad-hoc usage to a ""Frontier AI Firm"" model. Architected the organizational shift from ""AI User"" to ""Agent Boss,"" establishing a structured ecosystem where humans direct autonomous agents to execute complex workflows.   Key Contributions:   Strategic Roadmap & Vision: Defined and executed a ""Crawl, Walk, Run"" strategy to scale AI maturity. Transitioned the organization through phases: from individual augmentation to team-level workflow automation and enterprise orchestration.   Tooling & Infrastructure: Implemented a vendor-agnostic toolchain to prevent lock-in, integrating best-in-class IDEs (Cursor, Windsurf) and LLMs (Claude 3.7, Gemini 1.5 Pro). Developed an ""AI Tools Investment Dashboard"" to track usage, cost-per-employee, and ROI across Engineering, MLOps, and QA departments.   Cultural Transformation & Training: Evangelized ""Professional AI-Assisted Engineering"", moving beyond ""Vibe Coding"" to rigorous, test-driven methodologies. Instilled the ""Shoshin"" (Beginner's Mind) mindset through monthly AI Hackathons and Codeathons.   ** Governance & Best Practices:** established the ""Plan vs. Code"" workflow and TDD-first AI protocols. Enforced a ""Security First"" policy requiring mandatory SME verification of all AI outputs.   Impact:   Accelerated development velocity by integrating AI agents into core team processes.   Democratized access to advanced coding tools, reducing the ""capacity gap"" for over 80% of the workforce.   Established a scalable, secure, and budget-conscious framework for long-term AI integration.",,May 2025,Oct 2025
Language Translation,"Project Overview: Led the rapid development of the Sanas Consumer Mobile App, delivering a launch-ready React Native application in under 4 weeks. Achieved 100% iOS/Android parity and global readiness with zero prior mobile experience by pioneering an AI-orchestrated development workflow.   Key Contributions:  AI-Native Development Strategy: Orchestrated a multi-agent workflow using Cursor, Claude, and Codex to accelerate delivery. Leveraged git worktrees to run multiple background AI agents in parallel, enabling simultaneous feature development and context switching without velocity loss.  Android Porting & Parity: Engineered full feature parity for Android (v11-13+), implementing complex runtime permission flows for Camera, Microphone, and Notifications. Resolved platform-specific UI/UX fragmentation to ensure consistent performance across devices.  Onboarding & Voice Calibration: Re-architected the user onboarding flow to reduce ""Time to Magic"" to ~1.5 minutes. Built a track-based voice calibration system with real-time visual feedback and seamless ElevenLabs voice enrollment integration.  Global Localization Infrastructure: Implemented a scalable internationalization framework using i18next, supporting 9 languages (including Mandarin, Hindi, and Spanish) with dynamic device locale detection and runtime switching capabilities.   Technologies Used:   Mobile: React Native (Expo Managed Workflow), NativeWind, TypeScript  State & Data: TanStack Query, Zustand, Supabase, AsyncStorage  Core Services: WebRTC, Socket.io, i18next, PostHog Analytics  AI Tooling: Cursor, Claude 3.5/3.7, GitHub Copilot   Impact:   Shipped 3 complex features (Onboarding, Android Port, Localization) in <1 month.  Achieved performance targets of <2s launch time and 60fps animations on both platforms.  Enabled immediate expansion into 9 key international markets upon launch.",,Aug 2025,Nov 2025
Sanas for Sales – Speech Companion (Innovation Lab),"Project Overview:   Led the ""Zero to One"" R&D and engineering of a real-time AI sales copilot, taking it from concept to enterprise-ready GA in 3 months. As the technical owner, I drove the roadmap and architecture, presenting progress in weekly reviews with the CEO. The product empowers sales agents with live objection handling and battlecards by analyzing conversation context in real-time.   Key Contributions:  Architecture & Development: Designed a hybrid Chrome Extension and Desktop App architecture to deliver non-intrusive, real-time assistance overlaid on sales tools (e.g., Salesforce, HubSpot).  Advanced RAG Pipeline: Built a multi-modal Retrieval-Augmented Generation (RAG) engine capable of ingesting and indexing diverse enterprise data sources (PDFs, Web links, YouTube videos) to ground AI responses.  Latency & Performance Optimization: Engineered the end-to-end pipeline (Transcription -> Retrieval -> Generation) to minimize latency, achieving near real-time performance targets (<4s) critical for live calls.  Evaluation Framework: Implemented automated LLM evaluation pipelines using DeepEval and Ragas to rigorously test response accuracy, hallucination rates, and safety compliance before deployment.  Feature Delivery: Delivered critical sales enablement features including Live Objection Handling, Dynamic Battlecards, and Sentiment Analysis.   Technologies Used:  Core: Python (FastAPI), ReactJS (Chrome Extension), WebSocket  AI/ML: RAG (LlamaIndex/LangChain), Vector Databases, DeepEval, Ragas  Integrations: Chrome Extension API, Electron, Speech-to-Text (STT) services   Impact:  Successfully transitioned a high-priority R&D concept into a fully functional General Availability (GA) product integrated into Sanas Core6.  Established a scalable Knowledge Ingestion System used across future AI products.  Reduced agent ramp-up time and improved objection handling success rates through real-time AI guidance.",,Jun 2025,Aug 2025
Unified ML Platform – Cross-Functional Orchestration,"Project Overview: Orchestrated the development of a centralized ML Platform to unify disparate workflows across DevOps, MLOps, and Innovation teams. I led a cross-functional team of 5 engineers to replace fragmented tooling with a standardized, scalable infrastructure.   Key Contributions:  Strategic Requirement Gathering: Conducted deep-dive technical interviews with 10+ Research Scientists to identify critical bottlenecks, specifically ""manual deployment overhead,"" ""lack of experiment reproducibility,"" and ""resource contention"".  Platform Architecture & Design: Architected a Kubernetes-native ecosystem incorporating MLflow for unified experiment tracking and a centralized Model Registry. This design resolved long-standing versioning conflicts and enabled reproducible model training.  Cross-Team Coordination: aligned DevOps (infrastructure), MLOps (pipelines), and Innovation (model research) teams to implement a ""Hub-and-Spoke"" architecture, ensuring scientists retained flexibility while adhering to engineering standards.  Operational Excellence: Established a Governance Framework for model evaluation and deployment, automating previously manual handoffs between research and production engineering.   Technologies Used:  Core: Python, Kubernetes (K8s), Docker  ML Ops: MLflow, Kubeflow, Ray (Compute Orchestration)  Infrastructure: AWS/GCP, Terraform, GitHub Actions   Impact:  Unified 3 disparate teams (DevOps, MLOps, Innovation) under a single technical vision, eliminating siloed workflows.  Reduced model deployment time by automating the transition from ""Research"" (Notebooks) to ""Production"" (Pipelines).  Standardized the experimentation lifecycle for the entire science team, enabling accurate tracking of metrics and model lineage across the organization.",,Dec 2025,Feb 2026
